geneIDs	a_cell	a_donor	geneIDs	b_cell	b_donor	geneIDs	g_cell	g_donor	geneIDs	d_cell	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor	geneIDs	correlation	sequenced	RefSeq	RPKM
															'DAZAP1'	0.667	0.461	'FN3K'	0.54	2007085	956704	5763
															'ZNF358'	0.667	0.547	'SNHG6'	0.54	1899267	743405	6384
															'NPRL3'	0.667	0.466	'SLC25A1'	0.54	1901903	1066815	3407
															'SLC43A2'	0.667	0.429	'JUNB'	0.54	1336624	446895	4160
															'LRRC59'	0.667	0.347	'PTGES2'	0.54	1426460	596788	4921
															'ATP1A1'	0.666	0.346	'CDC34'	0.54	1657005	935982	5223
															'LSR'	0.666	0.503	'GPR137'	0.54	419021	2893	1146
															'CDK12'	0.665	0.391	'TCEA2'	0.54	1138806	351950	5783
															'DBNDD1'	0.664	0.456	'GNAI2'	0.54	1967025	1046878	4264
															'TMEM203'	0.663	0.492	'CHPF2'	0.54	1685103	649917	4332
															'FAM150B'	0.663	0.2	'PHLDB3'	0.54	2171124	984568	4226
															'SF3A1'	0.662	0.342	'LTBP3'	0.54	1611845	646575	5119
															'EVC'	0.662	0.175	'NME3'	0.54	2036843	950444	5890
															'CANT1'	0.662	0.352	'SRRM2'	0.54	1195741	490270	2372
															'SLC25A1'	0.662	0.541	'B3GNT9'	0.54	1399464	546228	4875
															'FAM129B'	0.661	0.311	'RPS7'	0.54	1118607	508450	4484
															'PHLDB1'	0.661	0.238	'RHBDD2'	0.54	1173674	535447	5826
															'TMEM129'	0.66	0.553	'TMEM175'	0.54	2966134	1793495	4564
															'USP20'	0.659	0.428	'RPL27A'	0.54	2139584	933344	5641
															'IER3'	0.659	0.429	'COMTD1'	0.54	2238910	1210438	4465
															'KCNQ1'	0.659	0.11	'CLCN7'	0.54	2074468	981724	2624
															'CLCN7'	0.659	0.536	'DVL3'	0.54	85520	48346	3589
															'DYNLRB1'	0.658	0.463	'FOXP4'	0.53	544388	213729	1119
															'DPP3'	0.658	0.436	'MXD4'	0.53	1167901	558120	4305
															'ZDHHC8'	0.657	0.493	'PRRC2A'	0.53	2589102	1632470	3337
															'RPS5'	0.657	0.582	'MAP2K2'	0.53	2700647	1081397	3956
															'CADM4'	0.657	0.381	'PGP'	0.53	2118471	1068843	4477
															'ESRRA'	0.656	0.382	'SMIM4'	0.53	2960005	1518076	6693
															'ATP5G2'	0.656	0.494	'MLST8'	0.53	3424816	1513889	3990
															'MAGEF1'	0.655	0.376	'HS1BP3'	0.53	828762	381174	2457
															'ENDOG'	0.654	0.498	'MFSD10'	0.53	2047356	1114850	4919
															'MYO1D'	0.654	0.399	'TSC22D4'	0.53	1408881	605104	3800
															'PNRC1'	0.654	0.566	'RAD23A'	0.53	2338377	1041774	3563
															'UNC93B1'	0.654	0.416	'DTX3'	0.53	1922638	959982	4989
															'SHISA4'	0.654	0.403	'MTA1'	0.53	1516469	660564	4521
															'DVL3'	0.653	0.535	'ARF5'	0.53	2266734	1283377	4663
															'PIK3R2'	0.653	0.561	'NAA60'	0.53	1400713	580345	5203
															'IGFBP7'	0.653	0.352	'STK11'	0.53	2507373	1311016	5526
															'LY6E'	0.653	0.385	'SLC22A17'	0.53	1050650	537057	6517
															'TMC6'	0.652	0.129	'PLXNB2'	0.53	2283847	1290912	3320
															'CDC34'	0.652	0.539	'LENG8'	0.53	758688	358604	3421
															'B3GAT3'	0.652	0.549	'SRM'	0.53	1098037	378934	4951
															'NSMF'	0.652	0.563	'GSK3A'	0.53	2292384	1148931	3686
															'BAX'	0.652	0.472	'PNPLA6'	0.53	1553833	585577	3782
															'NADK'	0.651	0.458	'ERP29'	0.53	379428	211846	3894
															'PKN1'	0.651	0.473	'FAM195A'	0.53	2472019	1264213	3957
															'SLC25A10'	0.651	0.432	'RPS24'	0.52	2645377	1492251	4678
															'RPL10'	0.65	0.501	'DNM2'	0.52	1905650	947852	3371
															'RNF126'	0.65	0.586	'TESK1'	0.52	2087763	1170817	5445
															'RPL12'	0.65	0.588	'VWA7'	0.52	1294167	637128	4897
															'P4HTM'	0.65	0.444	'C8orf82'	0.52	2120736	1078181	5031
															'PLXNA1'	0.649	0.307	'TOMM40'	0.52	1924892	996825	3026
															'NME3'	0.649	0.537	'FBXW5'	0.52	1432660	838775	4433
															'BCL2L1'	0.649	0.456	'RPS19'	0.52	2171616	1167501	6892
															'HS1BP3'	0.648	0.532	'BOK'	0.52	2629200	1445433	4661
															'AP2A2'	0.648	0.464	'FBXO31'	0.52	1193704	680537	5607
															'ORAI3'	0.647	0.467	'RPL24'	0.52	768683	375791	5066
															'OGFR'	0.647	0.439	'RNF145'	0.52	2392540	1123870	3400
															'POLR2A'	0.646	0.518	'SLC29A4'	0.52	2457235	974776	6360
															'MBD1'	0.646	0.292	'MOGS'	0.52	1402787	737229	3247
															'URM1'	0.645	0.516	'ZBTB7A'	0.52	645448	327006	4349
															'POMT1'	0.645	0.408	'GPR56'	0.52	1533020	910191	3224
															'SZRD1'	0.645	0.58	'NDUFB11'	0.52	614400	389563	2870
															'TRIOBP'	0.645	0.259	'RPL13AP6'	0.52	1662511	602950	5841
															'DUSP28'	0.645	0.405	'SEZ6L2'	0.52	2490487	1439610	5539
															'RPS28'	0.644	0.486	'SLC39A3'	0.52	3071741	1667593	5375
															'BLOC1S4'	0.644	0.317	'POLR2A'	0.52	2388107	1105553	3371
															'SH3GL1'	0.643	0.441	'HMGA1'	0.52	3186394	1463242	4779
															'CRAT'	0.643	0.467	'PPP6R1'	0.52	670124	190209	2577
															'CTXN1'	0.643	0.248	'RPL23'	0.52	2529777	1447271	4289
															'ATN1'	0.643	0.502	'APP'	0.52	2160015	1304035	5451
															'APP'	0.642	0.516	'ZDHHC1'	0.52	921906	278807	5979
															'MAZ'	0.642	0.581	'UBE2M'	0.52	1242244	644272	7120
															'TBC1D10A'	0.642	0.401	'DAPK3'	0.52	1480345	819074	5272
															'FOXA2'	0.641	0.361	'PPP1R14B'	0.52	948060	562847	4725
															'SLC52A2'	0.641	0.455	'URM1'	0.52	2159694	1102948	3849
															'FLNA'	0.64	0.112	'TAF6L'	0.52	2523612	1339786	4227
															'RNPEP'	0.64	0.381	'MACROD1'	0.52	2373931	651497	3372
															'DOT1L'	0.64	0.434	'PTPRN'	0.51	1546291	756422	3965
															'FAM160A2'	0.64	0.431	'PARVB'	0.51	1580354	650435	5012
															'KAT8'	0.639	0.4	'CAMTA2'	0.51	310230	19235	1186
															'LTBP3'	0.639	0.537	'H2AFX'	0.51	1418963	703369	5776
															'ZNF800'	0.638	0.454	'RPL3'	0.51	1676799	736157	5404
															'TTYH3'	0.637	0.264	'C5orf38'	0.51	808107	381334	4230
															'TXNL4A'	0.637	0.507	'ATP6V0E2'	0.51	1489265	676686	5327
															'MOV10'	0.636	0.386	'SLC25A22'	0.51	2487615	1741583	4024
															'TMEM184B'	0.636	0.499	'SUPT5H'	0.51	1592868	700858	7353
															'GGT7'	0.635	0.409	'SSBP4'	0.51	986044	452565	7280
															'MIDN'	0.634	0.483	'CHMP1A'	0.51	1432474	781490	3201
															'TRIM28'	0.634	0.362	'PPP2R4'	0.51	2211959	783777	5189
															'ATP6V0A1'	0.634	0.472	'TMEM109'	0.51	1974980	887737	5551
															'GSDMD'	0.634	0.37	'GANAB'	0.51	1909308	1015778	4194
															'EPHX1'	0.634	0.439	'FAM131C'	0.51	139297	56069	1921
															'MBOAT7'	0.634	0.476	'SHARPIN'	0.51	1974056	1022008	3787
															'NCLN'	0.633	0.498	'LAMP1'	0.51	1817504	784637	5862
															'LZTS2'	0.633	0.352	'DFNB31'	0.51	1964003	1149565	4484
															'KDM5C'	0.632	0.468	'HSF1'	0.51	215872	124014	4777
															'FAM195A'	0.632	0.526	'FAM3A'	0.51	943633	507352	5570
															'MECP2'	0.632	0.364	'APRT'	0.51	1589011	890215	4463
															'PRKCD'	0.632	0.199	'ANKRD30BL'	0.51	1738792	792821	3500
															'TFE3'	0.632	0.409	'TXNL4A'	0.51	2408002	1028540	3242
															'TRPC4AP'	0.631	0.409	'ALKBH7'	0.51	1972573	829377	4794
															'DIP2C'	0.631	0.345	'C9orf142'	0.51	126325	58807	3788
															'TSC22D4'	0.63	0.531	'OGFOD3'	0.51	1642101	799266	4898
															'IER5L'	0.63	0.169	'NAGLU'	0.51	2227235	1219449	4952
															'BCAR1'	0.63	0.502	'GADD45G'	0.51	574653	280226	3778
															'MFSD3'	0.629	0.499	'RPL29'	0.51	831534	391305	5445
															'ATP11A'	0.628	0.203	'C19orf70'	0.51	1247593	623127	2695
															'SIGIRR'	0.628	0.452	'VGF'	0.51	277345	15006	1048
															'NOC2L'	0.628	0.413	'C19orf24'	0.50	736751	303928	2494
															'CUEDC1'	0.627	0.553	'U2AF2'	0.50	2559545	800743	4102
															'GSK3A'	0.627	0.526	'SREBF1'	0.50	1902270	847032	5476
															'PHF5A'	0.627	0.493	'SEPT9'	0.50	1529498	520005	3400
															'EIF3G'	0.627	0.386	'NFIC'	0.50	2707728	1778985	4582
															'CCDC92'	0.626	0.39	'COPE'	0.50	413817	228027	3768
															'GALE'	0.626	0.316	'LSR'	0.50	1194326	488507	4050
															'RHBDD3'	0.626	0.376	'UBE2Z'	0.50	862529	311157	5064
															'MYRF'	0.625	0.263	'LHPP'	0.50	1800584	1077979	5183
															'ENTPD2'	0.625	0.405	'PIM3'	0.50	392303	143438	3175
															'SLC44A2'	0.625	0.177	'BCAR1'	0.50	2195052	1079015	2958
															'TLE2'	0.625	0.559	'ATN1'	0.50	839520	463352	4556
															'OAF'	0.624	0.118	'ST6GALNAC6'	0.50	2144815	1120387	4253
															'SRSF9'	0.624	0.443	'NDUFB7'	0.50	2715729	1499476	5302
															'TMEM63B'	0.624	0.476	'KIF12'	0.50	1088897	417032	4716
															'FGFR1'	0.624	0.392	'RPL10'	0.50	1697558	855426	5261
															'ZFP36'	0.624	0.376	'MBD6'	0.50	100281	45809	4126
															'VASP'	0.623	0.431	'CSTB'	0.50	1133989	535171	6576
															'RALY'	0.623	0.4	'OGDH'	0.50	1796660	812218	5733
															'TMC4'	0.623	0.4	'SYN1'	0.50	869931	506566	5328
															'SPSB2'	0.623	0.427	'ROMO1'	0.50	1959299	965392	3230
															'ATP13A1'	0.622	0.487	'HNRNPA0'	0.50	951124	530953	4619
															'APRT'	0.622	0.508	'ABHD17A'	0.50	1033144	526987	4146
															'ARFGAP1'	0.622	0.456	'KRTCAP2'	0.50	1983811	798185	2953
															'STK16'	0.622	0.493	'RPS27'	0.50	664893	346396	4044
															'SRC'	0.621	0.418	'TRAF4'	0.50	452872	268965	3504
															'PACS1'	0.62	0.441	'FBXL15'	0.50	1396059	592646	5009
															'ZNF503'	0.62	0.194	'TMEM184B'	0.50	1240009	519997	4646
															'SCAND1'	0.62	0.563	'MFSD3'	0.50	2227761	1321788	4635
															'FN3K'	0.62	0.542	'NCLN'	0.50	1593707	724648	5204
															'GPX1'	0.62	0.453	'ENDOG'	0.50	1500929	838058	6344
															'C19orf24'	0.62	0.505	'GDI1'	0.50	1737165	610132	6037
															'GNAI2'	0.62	0.538	'CTNNBIP1'	0.50	675701	441803	4583
															'MEGF8'	0.619	0.361	'TSPAN17'	0.50	1010939	513439	2786
															'PKM'	0.619	0.483	'RHPN1'	0.50	1419428	543128	4583
															'ACIN1'	0.619	0.348	'FBXO2'	0.50	1567870	629014	5474
															'TRAF4'	0.618	0.5	'AP2S1'	0.50	2219282	1261828	6428
															'C10orf54'	0.618	0.137	'MZF1'	0.50	1712789	1052797	4427
															'MFI2'	0.618	0.235	'LMF2'	0.50	1949142	1144128	4814
															'STK25'	0.618	0.44	'BAIAP2'	0.50	267919	85893	3257
															'PRPF19'	0.618	0.454	'TMEM141'	0.50	564292	4004	1062
															'BCL3'	0.618	0.393	'TRAPPC5'	0.50	1087588	319196	1695
															'RPL29'	0.617	0.506	'TMEM160'	0.50	2289619	1370499	5222
															'TMEM102'	0.617	0.329	'NPM3'	0.50	936600	524875	5534
															'NCKIPSD'	0.617	0.43	'PRRG2'	0.50	2052013	1081372	4904
															'KIF12'	0.617	0.502	'GTF3C5'	0.50	2566980	1175640	3367
															'POLR2L'	0.617	0.558	'NAPA'	0.50	997315	437195	5435
															'CLSTN1'	0.616	0.483	'RPS19BP1'	0.49	1528501	643546	4412
															'PELP1'	0.616	0.431	'JMJD8'	0.49	1173885	645259	5027
															'BACE2'	0.616	0.371	'SNF8'	0.49	2216227	1073824	5366
															'RAD23A'	0.615	0.53	'PIGQ'	0.49	2878341	1752735	4631
															'PSMD3'	0.615	0.489	'PSKH1'	0.49	2790857	1220676	4036
															'DOK4'	0.615	0.381	'ATP5G2'	0.49	1907230	969131	3934
															'TPRA1'	0.615	0.401	'CIC'	0.49	1876886	906184	5410
															'SRCAP'	0.614	0.419	'CDK16'	0.49	1962215	1136768	4077
															'MOGS'	0.614	0.52	'STK16'	0.49	1805951	952892	4649
															'KMT2D'	0.613	0.452	'MVD'	0.49	1269808	508454	5859
															'COL18A1'	0.613	0.033	'ZDHHC8'	0.49	622000	364429	4657
															'MFSD10'	0.613	0.531	'GADD45GIP1'	0.49	2157491	1270165	4169
															'MMP15'	0.613	0.44	'PHF5A'	0.49	2020764	935288	3803
															'CKAP4'	0.613	0.411	'MAP1S'	0.49	2074530	978601	4951
															'LZTR1'	0.613	0.391	'PVRL2'	0.49	1773778	797866	5896
															'NEURL1'	0.612	0.487	'TMEM203'	0.49	2172391	1292106	4208
															'CX3CL1'	0.612	0.179	'NME4'	0.49	569763	25826	1264
															'KLHL26'	0.612	0.33	'GNL1'	0.49	877474	419937	4541
															'PIM3'	0.612	0.502	'SPNS1'	0.49	985878	363796	3727
															'PTTG1IP'	0.611	0.344	'BAZ2A'	0.49	2456945	1341628	3855
															'SLC9A8'	0.611	0.415	'PSMD3'	0.49	2230954	1099804	6377
															'NOP14-AS1'	0.61	0.374	'KCTD13'	0.49	1544434	720633	7045
															'DDX23'	0.61	0.295	'MIR3648'	0.49	2479624	1147597	5006
															'GRN'	0.61	0.488	'RAB26'	0.49	1368826	717098	4951
															'PPP6R1'	0.61	0.517	'REXO4'	0.49	3213679	1776024	4208
															'DHX32'	0.61	0.272	'GRN'	0.49	3330107	1941935	6536
															'PFKL'	0.61	0.552	'GIPC1'	0.49	2148275	1147053	4744
															'TPT1'	0.609	0.368	'PRKACA'	0.49	412011	238811	4417
															'PPP1R12C'	0.609	0.472	'STX1A'	0.49	2289205	1144523	4868
															'GATS'	0.609	0.335	'ATP13A1'	0.49	800842	250993	4745
															'SFT2D3'	0.609	0.362	'PCBP1'	0.49	710801	353871	3744
															'SNF8'	0.609	0.494	'WHSC1L1'	0.49	1556040	667456	5353
															'TAF6'	0.608	0.445	'NEURL1'	0.49	2216160	1085683	5744
															'CREB3L1'	0.608	0.239	'SCYL1'	0.49	1664795	879817	5840
															'REPIN1'	0.608	0.463	'HLA-A'	0.49	1378429	644088	4725
															'UCK1'	0.608	0.412	'RPS28'	0.49	1551905	808586	4938
															'TRAPPC12'	0.607	0.436	'CPLX1'	0.49	375526	266884	4305
															'C9orf89'	0.607	0.385	'MOB2'	0.48	978383	353093	1655
															'GANAB'	0.607	0.51	'ATP13A2'	0.48	1708109	921798	4829
															'CIRBP'	0.606	0.317	'RABL6'	0.48	2137491	982568	3984
															'DTX3'	0.606	0.529	'DEAF1'	0.48	2142358	1052300	7253
															'TRIM26'	0.605	0.313	'THEM6'	0.48	2333380	928285	5643
															'CCDC97'	0.605	0.348	'SSTR5-AS1'	0.48	2326021	1218589	5115
															'VASN'	0.605	0.227	'MTCH1'	0.48	630159	301768	3666
															'SGSM3'	0.605	0.44	'MIDN'	0.48	972414	415253	3964
															'SPNS1'	0.605	0.49	'CLSTN1'	0.48	1090391	405113	2699
															'FAM210B'	0.605	0.346	'FASTK'	0.48	2756131	1408776	5611
															'LOC407835'	0.604	0.41	'PKM'	0.48	2026288	865490	5399
															'CITED2'	0.604	0.483	'PPP4C'	0.48	2054732	1161864	5065
															'ETHE1'	0.604	0.358	'TKT'	0.48	1065812	330162	2136
															'PTPN6'	0.604	0.301	'CCDC106'	0.48	729168	386594	4905
															'C19orf66'	0.604	0.418	'CITED2'	0.48	2455509	1427317	3743
															'CAPNS1'	0.603	0.131	'DYRK1B'	0.48	2225212	1437248	3210
															'DALRD3'	0.603	0.391	'AKT2'	0.48	1553346	897573	5269
															'LLGL2'	0.603	0.382	'IRF2BP1'	0.48	1049537	480931	5132
															'ZDHHC1'	0.603	0.516	'RBCK1'	0.48	1699781	827411	5138
															'TMEM63A'	0.602	0.123	'PLEKHH3'	0.48	2316105	1351322	5562
															'PIP5K1C'	0.602	0.355	'SGPP2'	0.48	1425549	805883	5078
															'PARP10'	0.601	0.419	'DEXI'	0.48	1019625	351660	4776
															'SBNO2'	0.601	0.337	'TNIP1'	0.48	2140588	1088028	6055
															'COPRS'	0.601	0.43	'WDTC1'	0.48	1200332	684302	4893
															'ZMIZ2'	0.601	0.387	'MRPL12'	0.48	1461764	856232	4995
															'CAPS'	0.601	0.295	'ABHD8'	0.48	1104591	644152	5282
															'TOM1'	0.6	0.444	'UBALD1'	0.48	2470035	1117084	5949
															'DNAJB2'	0.6	0.44	'SH2B1'	0.48	1079085	447772	4930
															'NDN'	0.6	0.428	'SHISA5'	0.48	1337884	604423	4671
															'LAMP2'	-0.601	-0.315	'RPSA'	0.48	2448172	1387401	3216
															'ENPP2'	-0.602	-0.321	'SYMPK'	0.48	974971	567477	6317
															'SDHD'	-0.615	-0.357	'PPP5C'	0.48	1126444	598021	3170
															'CD164'	-0.617	-0.363	'TIMM17B'	0.48	2045767	1072852	5117
															'TMBIM6'	-0.618	-0.245	'DPM3'	0.48	2768378	1412181	5496
															'ANXA5'	-0.622	-0.337	'ABHD14B'	0.48	2339498	1230440	5396
															'ARL6IP5'	-0.632	-0.231	'SH3GLB2'	0.48	378975	171945	1663
															'PPY'	-0.633	-0.56	'VARS'	0.48	1798859	1098880	3837
															'PSMA2'	-0.633	-0.294	'SNHG17'	0.48	2134973	951428	4992
															'SET'	-0.642	-0.575	'FAM131A'	0.48	1780826	1014542	3670
															'VPS29'	-0.643	-0.279	'TMEM115'	0.48	2122215	1216016	3725
															'UGT2B17'	-0.645	-0.116	'ABCA3'	0.48	980389	388775	5423
															'SCP2'	-0.654	-0.35	'GTF2I'	0.48	2114887	863373	5329
															'ATP6V1G1'	-0.658	-0.517	'RFNG'	0.48	1726884	1044752	5499
															'CAPZA1'	-0.658	-0.489	'TMEM63B'	0.48	1748986	912306	5691
															'DAZAP2'	-0.661	-0.256	'MBOAT7'	0.48	466861	5766	1188
															'DDX5'	-0.664	-0.556	'DUS1L'	0.48	1521556	752832	4240
															'C6orf62'	-0.669	-0.364	'ANAPC2'	0.48	2338566	1346540	4437
															'TSPYL1'	-0.674	-0.553	'POLRMT'	0.48	1297759	537671	5208
															'PRDX3'	-0.676	-0.474	'PRR12'	0.48	275347	106667	3515
															'ANXA2P1'	-0.678	-0.226	'TRABD'	0.48	1088341	593137	3643
															'H3F3B'	-0.683	-0.536	'ADCK4'	0.48	2466951	1626855	4984
															'CNN3'	-0.689	-0.033	'SCAMP5'	0.48	1424769	660137	5999
															'ASAH1'	-0.694	-0.389	'BRD4'	0.48	2201723	781601	5239
															'SKP1P2'	-0.7	-0.364	'TRAF7'	0.47	1590086	337627	3924
															'ARPC5'	-0.714	-0.366	'ERF'	0.47	2348006	1286520	4899
															'B2M'	-0.732	-0.399	'MRPL4'	0.47	1440065	685844	4514
															'PPP1CB'	-0.736	-0.524	'PI4K2A'	0.47	2323877	1411971	4876
															'SKP1'	-0.778	-0.43	'DAP'	0.47	1873665	743049	5692
															'SRP9'	-0.786	-0.605	'HDAC10'	0.47	1161311	714696	3426
															'SDCBP'	-0.799	-0.284	'GYLTL1B'	0.47	833657	378725	5481
																		'RPL38'	0.47	2207873	898241	2992
																		'PKN1'	0.47	1475534	624673	4100
																		'RNH1'	0.47	2922750	1282877	5544
																		'SEC16A'	0.47	2415262	1114651	6628
																		'ZSCAN16-AS1'	0.47	1745473	878871	2973
																		'NELFB'	0.47	1678092	851230	3284
																		'BCL7C'	0.47	2840872	1791527	4562
																		'ATP6V0A1'	0.47	3220878	1976859	5193
																		'DGKZ'	0.47	1902141	764937	4093
																		'BAX'	0.47	2145471	1130561	4228
																		'AP2B1'	0.47	1059018	545530	5138
																		'USB1'	0.47	1481373	656379	7601
																		'PPP1R12C'	0.47	1165594	477065	2918
																		'RHOT2'	0.47	2660076	1071301	2740
																		'STARD10'	0.47	2651708	1502947	5119
																		'PGLS'	0.47	1255075	760266	3285
																		'LRP5'	0.47	1965403	872010	5419
																		'ARL6IP4'	0.47	2709198	1121332	2501
																		'TMEM55B'	0.47	1185480	452771	4854
																		'MPG'	0.47	2630732	1262348	6612
																		'GGA1'	0.47	2726627	1250247	3410
																		'EPS8L2'	0.47	1513375	747906	2814
																		'FAM195B'	0.47	1815654	797241	5652
																		'CDIPT'	0.47	2592244	1225842	5630
																		'PTPN18'	0.47	491861	7723	1162
																		'TAOK2'	0.47	1957296	630779	6061
																		'MAN2C1'	0.47	2327091	1441669	4409
																		'COX6B1'	0.47	1447772	579279	5817
																		'ABHD12'	0.47	196607	107836	3965
																		'EPB41L4A-AS1'	0.47	2491312	1196537	3696
																		'IP6K1'	0.47	1803360	833793	3281
																		'KDM5C'	0.47	1503524	936564	2809
																		'ZNF703'	0.47	2720448	1429012	5163
																		'ATP5EP2'	0.47	1907618	904070	4775
																		'CMTR1'	0.47	480777	242853	6029
																		'MFSD12'	0.47	2011020	822031	5206
																		'CCDC85B'	0.47	1763446	996839	3954
																		'VSTM2L'	0.47	1766691	1025842	4515
																		'POFUT2'	0.47	2639731	1100769	5338
																		'CRAT'	0.47	1920270	1198793	4747
																		'STK40'	0.47	1930106	843201	5670
																		'ECE1'	0.47	2343707	1317433	4996
																		'SCAF1'	0.47	1312110	591212	4538
																		'ORAI3'	0.47	746912	301343	4656
																		'RPL31'	0.47	1038445	603687	4563
																		'RPS8'	0.47	1462821	731435	4541
																		'NPRL3'	0.47	2526405	1249479	3816
																		'BCL7B'	0.47	2529460	1536186	6912
																		'LHFPL3-AS2'	0.47	1126615	616457	5549
																		'CYB5R3'	0.46	1358538	659600	4900
																		'SPRYD3'	0.46	2272380	1228486	3350
																		'TMEM59L'	0.46	1502606	838139	4804
																		'PLBD2'	0.46	1612810	812630	3490
																		'SLC2A4RG'	0.46	3424446	1654879	6462
																		'ACP2'	0.46	1798456	685318	5302
																		'ATG4B'	0.46	1507893	781234	4963
																		'AP2A2'	0.46	587970	384801	3482
																		'PCYT2'	0.46	918348	654549	4176
																		'PKP3'	0.46	282703	35428	1038
																		'REPIN1'	0.46	1276330	753413	4018
																		'DYNLRB1'	0.46	2166290	1331606	3576
																		'ATG4D'	0.46	997847	581708	3609
																		'C20orf24'	0.46	1293983	722106	3767
																		'FUZ'	0.46	420851	75299	2431
																		'TADA3'	0.46	2498785	1558552	5077
																		'KDM4A'	0.46	2504844	1518827	3976
																		'KLHL22'	0.46	600949	309916	2717
																		'ITFG3'	0.46	3112168	2044839	4412
																		'CRTC1'	0.46	80668	36971	1736
																		'BAIAP3'	0.46	880487	497966	3149
																		'FAM89B'	0.46	1105884	705927	3572
																		'CXorf40A'	0.46	2041125	1338503	4799
																		'MAP2K3'	0.46	5128201	3378011	6318
																		'TPCN1'	0.46	3654384	2449290	3948
																		'DAZAP1'	0.46	1481060	965151	4908
																		'HSPB1'	0.46	4629946	3195217	5311
																		'RPL27'	0.46	3386434	2123288	4876
																		'IGFBP7-AS1'	0.46	1430710	872947	4939
																		'EMC10'	0.46	3164537	1982041	4941
																		'STARD3'	0.46	3710247	2591892	4862
																		'DECR2'	0.46	2106397	1340448	3170
																		'FAM58A'	0.46	325580	203131	1530
																		'SLC8A2'	0.46	665093	454945	3765
																		'DGCR2'	0.46	1456435	848041	4932
																		'JUND'	0.46	2819032	1846397	3823
																		'SGTA'	0.46	652905	345888	2693
																		'ULK3'	0.46	428214	269671	2843
																		'SPPL2B'	0.46	690955	438374	2310
																		'LPCAT1'	0.46	849266	545280	3752
																		'GTF2IP1.uid_9260'	0.46	712042	369734	2212
																		'SIN3B'	0.46	946274	590170	2706
																		'C12orf57'	0.46	1699531	948585	2763
																		'TOMM7'	0.46	198751	134187	3591
																		'LDLRAP1'	0.46	732468	417356	3552
																		'RGS9'	0.46	577492	153605	1302
																		'SYT5'	0.46	1130914	606325	3502
																		'NADK'	0.46	335021	174787	2345
																		'RPLP0'	0.46	1105424	755336	4735
																		'CSNK1G2'	0.46	2107850	1229151	6594
																		'FADS2'	0.46	4753907	2816481	5689
																		'B4GALT7'	0.46	1413116	650911	3912
																		'CACNA1H'	0.46	1189404	747401	5357
																		'ANP32A'	0.46	1116025	741099	2730
																		'ARFGAP1'	0.46	2761532	1580552	4742
																		'BCL2L1'	0.46	476586	50727	1681
																		'AURKAIP1'	0.46	315420	174502	2707
																		'UBE2O'	0.46	262937	128831	3220
																		'DBNDD1'	0.46	477125	188934	5048
																		'C16orf58'	0.46	2170822	1459719	4131
																		'REEP2'	0.46	692250	351534	2186
																		'OAZ1'	0.46	2146093	1482764	3629
																		'PYCR2'	0.46	961130	536465	3416
																		'VPS26B'	0.45	1894918	1289890	4531
																		'SLC52A2'	0.45	4022153	2543970	5558
																		'SELO'	0.45	394532	122950	2085
																		'LYPLA2'	0.45	1574779	877129	3619
																		'ZNF800'	0.45	2673383	1832750	4407
																		'GAPDH'	0.45	1260605	899593	4045
																		'PRPF19'	0.45	1021552	704281	5444
																		'FOXJ1'	0.45	900627	534489	3826
																		'GPX1'	0.45	1927300	1322167	4515
																		'TUSC1'	0.45	2954562	1655071	4484
																		'PLOD3'	0.45	1532111	1065914	4223
																		'ZNF467'	0.45	1139534	737514	7033
																		'WNT4'	0.45	1679306	1052923	2826
																		'PCBP4'	0.45	679066	288705	1021
																		'COG1'	0.45	487888	341192	4621
																		'CALM3'	0.45	277185	177042	2752
																		'KMT2D'	0.45	394202	236931	4012
																		'SIGIRR'	0.45	107303	59521	4484
																		'ARRDC1'	0.45	196211	82134	3152
